geneSymbol,half_life
2310030A07Rik,4.307
2310030G06Rik,2.179
2310030N02Rik,5.571
2310031A07Rik,3.306
2310031A18Rik,3.011
2310032F03Rik,7.6
2310033E01Rik,9.404
2310033K02Rik,8.932
2310033P09Rik,5.03
2310034G01Rik,24
2310035C23Rik,4.664
2310035K24Rik,2.591
2310036O22Rik,6.903
2310037I24Rik,3.216
2310038H17Rik,3.412
2310039D24Rik,5.287
2310039E09Rik,7.779
2310039H08Rik,7.77
2310040A07Rik,4.135
2310040C09Rik,1.837
2310040G24Rik,8.442
2310042E22Rik,5.287
2310042G06Rik,8.909
2310043J07Rik,20.208
2310043L19Rik,5.904
2310043M15Rik,2.553
2310043N10Rik,1.43
2310044G17Rik,3.636
2310044H10Rik,9.959
2310045A20Rik,5.626
2310045N01Rik,21.865
2310046K01Rik,24
2310046O06Rik,16.783
2310047A01Rik,8.261
2310047B19Rik,4.036
2310047C04Rik,5.949
2310047D07Rik,4.106
2310047D13Rik,6.064
2310047H23Rik,5.44
2310047K21Rik,4.611
2310047M15Rik,8.664
2310047O13Rik,9.43
2310050B05Rik,8.621
2310051F07Rik,5.356
2310051N18Rik,9.168
2310056P07Rik,6.027
2310057B04Rik,2.527
2310057D15Rik,9.56
2310057J16Rik,10.898
2310057M21Rik,1.351
2310058D17Rik,8.955
2310061C15Rik,5.427
2310061F22Rik,6.244
2310061I04Rik,4.961
2310061J03Rik,3.274
2310065F04Rik,13.946
2310065K24Rik,4.954
2310066E14Rik,6.883
2310067B10Rik,15.301
2310067E19Rik,2.286
2310068J16Rik,3.613
2310069B03Rik,5.311
2310069N01Rik,12.444
2310073E15Rik,9.613
2310076G13Rik,2.596
2310076L09Rik,4.457
2310079F23Rik,6.064
2310079G19Rik,5.344
2310079N02Rik,12.075
2310081J21Rik,7.334
2400001E08Rik,14.321
2400003C14Rik,7.327
2400006E01Rik,19.918
2400006H24Rik,13.202
2400009B08Rik,22.726
2410001C21Rik,8.589
2410002F23Rik,4.44
2410002I01Rik,3.8
2410002O22Rik,6.626
2410003J06Rik,17.199
2410003K15Rik,3.387
2410003L11Rik,8.281
2410003P15Rik,9.56
2410004A20Rik,24
2410004B18Rik,3.572
2410004F06Rik,19.747
2410004I01Rik,5.138
2410004L22Rik,9.18
2410004N09Rik,2.529
2410004P03Rik,19.042
2410004P22Rik,8.599
2410005O16Rik,7.517
2410006H16Rik,3.905
2410008K03Rik,24
2410012H22Rik,13.127
2410012M07Rik,2.398
2410014A08Rik,13.127
2410015M20Rik,19.691
2410015N17Rik,8.762
2410016F19Rik,14.233
2410016O06Rik,1.741
2410017P07Rik,4.332
2410017P09Rik,10.813
2410018C17Rik,5.001
2410018C20Rik,10.193
2410018E23Rik,8.125
2410018G20Rik,7.288
2410018L13Rik,4.636
2410018M08Rik,3.037
2410019A14Rik,5.576
2410022L05Rik,7.08
2410024A21Rik,4.624
2410025L10Rik,4.997
2410042D21Rik,4.602
2410066E13Rik,13.617
2410075B13Rik,3.46
2410076I21Rik,24
2410078J06Rik,22.216
2410080I02Rik,11.325
2410081M15Rik,3.036
2410088K16Rik,18.784
2410089E03Rik,4.993
2410091C18Rik,6.856
2410104I19Rik,4.173
2410116G06Rik,8.557
2410124H12Rik,5.275
2410125J01Rik,24
2410127E16Rik,10.68
2410127E18Rik,5.115
2410127L17Rik,5.658
2410129H14Rik,6.582
2410131K14Rik,4.786
2410133F24Rik,4.015
2410137F16Rik,24
2410137M14Rik,24
2410141K09Rik,6.4
2410146L05Rik,14.874
2410152P15Rik,4.874
2410166I05Rik,9.64
2410187C16Rik,9.873
2410198J08Rik,8.193
2500001K11Rik,1.294
2500002B13Rik,4.426
2500002L14Rik,7.334
2500003M10Rik,6.896
2500004C02Rik,3.64
2510002D24Rik,6.563
2510003B16Rik,9.417
2510003D18Rik,6.652
2510003E04Rik,4.471
2510006D16Rik,10.163
2510009E07Rik,3.663
2510012J08Rik,2.853
2510022D24Rik,24
2510039O18Rik,5.295
2510042P03Rik,2.837
2510048L02Rik,23.737
2510049I19Rik,10.915
2510049J12Rik,6.134
2600003E23Rik,5.453
2600005C20Rik,5.311
2600005N12Rik,6.006
2600005O03Rik,6.945
2600006L11Rik,7.832
2600009E05Rik,11.61
2600009P04Rik,5.639
2600010E01Rik,2.541
2600011C06Rik,4.864
2600011E07Rik,1.819
2600014M03Rik,7.197
2610001J05Rik,7.175
2610002D18Rik,1.697
2610002F03Rik,7.575
2610002J02Rik,6.307
2610002J23Rik,4.78
2610002M06Rik,7.633
2610003J06Rik,24
2610005L07Rik,4.423
2610008E11Rik,1.649
2610008G14Rik,2.636
2610014I16Rik,8.578
2610015P09Rik,4.867
2610016C23Rik,2.44
2610018G03Rik,9.508
2610018I03Rik,5.267
2610019A05Rik,9.06
2610019E17Rik,1.08
2610019F03Rik,7.342
2610019P18Rik,12.421
2610020C11Rik,1.318
2610020H08Rik,6.664
2610020O08Rik,8.875
2610021A01Rik,4.569
2610021K21Rik,6.557
2610024B07Rik,4.37
2610024E20Rik,8.013
2610024G14Rik,4.912
